de_title,en_title,de_text,en_text,image_url
hauspferd,horse,"Das Hauspferd (Equus caballus) ist ein weit verbreitetes Haus- bzw. Nutztier, das in zahlreichen Rassen auf der ganzen Welt existiert. 

Das Hauspferd ist die domestizierte Form des Wildpferdes (Equus ferus), das mit den Eseln und Zebras die Familie der Pferde (Einhufer, Equidae) innerhalb der Ordnung der Unpaarhufer (Perissodactyla) bildet.

Merkmale

Äußeres 
mini|Unterschiedliche Pferde (Lithographie)
Das Aussehen des Hauspferdes variiert in seinem Körperbau, der Körpergröße, Fell und Farbe. ","The horse (Equus ferus caballus) is one of two extant subspecies of Equus ferus. It is an odd-toed ungulate mammal belonging to the taxonomic family Equidae. The horse has evolved over the past 45 to 55 million years from a small multi-toed creature, Eohippus, into the large, single-toed animal of today. Humans began domesticating horses around 4000 BC, and their domestication is believed to have been widespread by 3000 BC. Horses in the subspecies caballus are domesticated, although some domest",https://upload.wikimedia.org/wikipedia/commons/b/b6/Bhimbetka_rock_paintng1.jpg
altamura,altamura,"Altamura ist eine italienische Stadt in der Metropolitanstadt Bari in Apulien mit  Einwohnern (Stand ).

Geografie 
Altamura liegt 45 km südwestlich von Bari an der Grenze zur Basilikata. Die Nachbargemeinden sind Bitonto, Cassano delle Murge, Gravina in Puglia, Grumo Appula, Matera (MT), Ruvo di Puglia, Santeramo in Colle und Toritto.

Geschichte 
Seit dem 8. Jahrhundert v. Chr. wurde die Murge-Anhöhe, auf der Altamura liegt, besiedelt und im 6. bis 3. Jahrhundert v. Chr. wurden in der Gegend M","Altamura (, ; ) is a town and comune of Apulia, in southern Italy. It is located on one of the hills of the Murge plateau in the Metropolitan City of Bari,  southwest of Bari, close to the border with Basilicata. , its population amounts to 70,595 inhabitants.

The city is known for its particular quality of bread called Pane di Altamura, which is sold in numerous other Italian cities. The 130,000-year-old calcified Altamura Man was discovered in 1993 in the nearby limestone cave called grotta d",https://upload.wikimedia.org/wikipedia/commons/f/f6/Cesare_Orlandi_-_Altamura.png
fc tschernomorez burgas,psfc chernomorets burgas,"Der FC Tschernomorez Burgas (, englisch Chernomorets Burgas) ist ein Fußballverein aus der bulgarischen Schwarzmeer-Hafenstadt Burgas. Der Verein spielt in der ersten bulgarischen Liga. Präsident des 2005 gegründeten Vereins ist Mitko Sabew. Ex-Bundesliga-Profi Krassimir Balakow trainierte die Mannschaft von 2008 bis Dezember 2010. Der Tschernomorez Pomorie fungiert als zweite Mannschaft des Clubs aus Burgas.

Geschichte 
mini|ehem. „9 Septemvri-Stadion“
mini|Lasur-Stadion (Innenansicht)
mini|Fa","PSFC Chernomorets Burgas () or simply Chernomorets () was a Bulgarian football club from the city of Burgas, which last competed in Bulgaria's fifth football league, the B Regional Group. The club has never won any major competition, its most notable achievement being a second-place finish in the UEFA Intertoto Cup competition in 2008.

The club was founded in 2005, following the folding of FC Chernomorets Burgas, that played numerous seasons in the first tier of Bulgarian football. The new Cher",https://upload.wikimedia.org/wikipedia/commons/b/b8/Fanclub_Chernomorez.jpg
salmānu-ašarēd i.,shalmaneser i,"Salmānu-ašarēd I. (Šulmānu-ašarēd I. oder auch Salmanassar I., in Analogie zum biblischen Salmanassar V.) war ein mittelassyrischer König. Sein Name bedeutet: „Salmānu ist der oberste Gott“. Als Sohn von Adad-nārārī I. regierte er nach der assyrischen Königsliste 30 Jahre als König das Assyrische Reich.

Er war der Sohn und Nachfolger des assyrischen Königs Adad-nārārī I. und führte wie seine Vorgänger die Titel „Statthalter des Bel und Priester des Aššur“. Außerdem nannte er sich Großkönig und ","Shalmaneser I (Shulmanu-asharedu; 1274 BC – 1245 BC or 1265 BC – 1235 BC) was a king of Assyria during the Middle Assyrian Empire (1365 - 1050 BC). Son of Adad-nirari I, he succeeded his father as king in 1265 BC.

According to his annals, discovered at Assur, in his first year he conquered eight countries in the northwest and destroyed the fortress of Arinnu, the dust of which he brought to Assur. In his second year he defeated Shattuara, king of Hanilgalbat (Mitanni), and his Hittite and Ahlam",https://upload.wikimedia.org/wikipedia/commons/a/aa/KingshalmaneserI.jpg
automobil-weltmeisterschaft 1973,1973 formula one season,"Die Automobil-Weltmeisterschaft 1973 war die 24. Saison der Automobil-Weltmeisterschaft, die heutzutage als Formel-1-Weltmeisterschaft bezeichnet wird. In ihrem Rahmen wurden über 15 Rennen in der Zeit vom 28. Januar 1973 bis zum 7. Oktober 1973 die Fahrerweltmeisterschaft und der Internationale Pokal der Formel-1-Konstrukteure ausgetragen.

Jackie Stewart gewann zum dritten und letzten Mal die Fahrer-Weltmeisterschaft. Lotus-Ford wurde zum sechsten Mal Konstrukteursweltmeister.

Der FIA-Ehrenti","The 1973 Formula One season was the 27th season of FIA Formula One motor racing. It featured the 1973 World Championship of Drivers and the 1973 International Cup for F1 Manufacturers, which were contested concurrently over a fifteen-race series that commenced on 28 January and ended on 7 October. There were two new races for the 1973 season – the Brazilian Grand Prix at Interlagos in São Paulo and the Swedish Grand Prix at Anderstorp. The season also included two non-championship races which we",https://upload.wikimedia.org/wikipedia/commons/1/12/Lotus_72_JPS.jpg
großer türkenkrieg,great turkish war,"Der Große Türkenkrieg zwischen der Heiligen Liga europäischer Mächte und dem Osmanischen Reich, auch als Großer Türkenkrieg Leopolds I. oder 5. Österreichischer Türkenkrieg bezeichnet, dauerte von 1683 bis 1699. Unter seinem neuen Großwesir und Oberbefehlshaber Kara Mustafa versuchte das Osmanische Reich 1683 zum zweiten Mal (nach der Ersten Wiener Türkenbelagerung 1529), die Kaiserstadt Wien zu erobern und das Tor nach Zentraleuropa aufzustoßen. Das Scheitern dieser Belagerung führte zur kaiser","The Great Turkish War () or the War of the Holy League () was a series of conflicts between the Ottoman Empire and the Holy League consisting of the Habsburg Monarchy, Poland-Lithuania, Venice and Russia. Intensive fighting began in 1683 and ended with the signing of the Treaty of Karlowitz in 1699. The war was a defeat for the Ottoman Empire, which for the first time lost large amounts of territory. It lost lands in Hungary and the Polish–Lithuanian Commonwealth, as well as part of the western ",https://upload.wikimedia.org/wikipedia/commons/1/19/1684_Entsatz_von_Wien_anagoria.JPG
cœur de pirate,cœur de pirate,WEITERLEITUNG Cœur de Pirate,"Béatrice Martin (; born September 22, 1989), better known by her stage name Cœur de pirate (; French for Pirate's Heart), is a Canadian singer-songwriter and pianist. A francophone from Montreal, she sings mostly in French and has been credited in Montreal Mirror with ""bringing la chanson française to a whole new generation of Quebec youth"".

Career

Early beginnings
Born in the province of Quebec, Martin started playing the piano when she was only three years old. She entered the Conservatoire ",https://upload.wikimedia.org/wikipedia/commons/e/e4/C%C5%93ur_de_pirate.jpg
janisjarwi,lake yanisyarvi,"Der Janisjarwi (; finnische Bezeichnung Jänisjärvi, ""Hasensee"") ist ein 200 km² großer See in der Republik Karelien in Russland nördlich des Ladogasees gelegen.

Der See wird vom Jänisjoki durchflossen und zum südlich gelegenen Ladogasee entwässert.
Das Einzugsgebiet des Sees umfasst 3660 km².

Das Becken des annähernd kreisförmigen Sees ist das Ergebnis eines Meteoriteneinschlags vor 700±5 Millionen Jahren (nach anderen Quellen 698±22 Mio. Jahre) während des Cryogeniums.

Der Impaktkrater hat e","Lake Yanisyarvi (; ) is a lake in the Republic of Karelia, Russia, located north of and draining to Lake Ladoga.

The basin of this somewhat circular lake was formed by meteorite impact 700±5 million years ago during the Cryogenian period. The crater is  in diameter.

Prior to World War II, the lake was thought to be the second known volcanic caldera in Finland (the other was Lake Lappajärvi). Both were eventually recognized as impact craters.

References

External links
Lake Jänisjärvi Impact C",https://upload.wikimedia.org/wikipedia/commons/9/9e/Janisjarvi_crater_lake_01.jpg
umm er-rasas,umm ar-rasas,"mini|Stadtvignette von Kastron Mefa'a, Detail des Bodenmosaiks in der Stephanuskirche
Umm er-Rasas (; auch: Kastron Mefa’a oder Mefaa oder Mephaon) ist eine archäologische Stätte in Jordanien mit Ruinen vom Ende des 3. bis zum 9. Jahrhundert. Sie liegt rund 70 km südlich von Amman und 30 km von Madaba entfernt und repräsentiert vermutlich das in Josua 18, 13 erwähnte Mefaat (auch Mephaat, Mefa'at, Mepha'at).

Umm er-Rasas war eine ummauerte Siedlung und enthält Ruinen aus römischer und byzantini","Umm ar-Rasas () (Kastrom Mefa'a, Kastron Mefa'a) is located 30 km southeast of Madaba, which is the capital city of the Madaba Governorate in central Jordan. It was once accessible by branches of the King's Highway, and is situated in the semi-arid steppe region of the Jordanian Desert. The site has been allied to the biblical settlement of Mephaat mentioned in the Book of Jeremiah. The Roman military utilized the site as a strategic garrison, but it was later converted and inhabited by Christia",http://upload.wikimedia.org/wikipedia/commons/9/91/Umm_Rasas_Fisherman.JPG
petersburger blutsonntag,bloody sunday (1905),"miniatur|Demonstranten auf dem Weg zum Winterpalast in St. Petersburg
Der Petersburger Blutsonntag (auch Blutiger Sonntag, Roter oder Schwarzer Sonntag) des Jahres 1905 war ein Ereignis in der Geschichte des Russischen Kaiserreichs und Teil der Russischen Revolution von 1905.

Der Blutsonntag 
miniatur|Militär vor dem Winterpalast
In den ersten Januartagen 1905 erfasste ein Generalstreik zuerst die Putilow-Werke und bald darauf auch die Werften, Manufakturen und Webereien. Am Sonntag, dem  begab","Bloody Sunday or Red Sunday () is the name given to the events of Sunday,  in St Petersburg, Russia, when unarmed demonstrators, led by Father Georgy Gapon, were fired upon by soldiers of the Imperial Guard as they marched towards the Winter Palace to present a petition to Tsar Nicholas II of Russia.

Bloody Sunday caused grave consequences for the Tsarist autocracy governing Imperial Russia: the events in St. Petersburg provoked public outrage and a series of massive strikes that spread quickly",https://upload.wikimedia.org/wikipedia/commons/5/5c/BloodySunday1905.jpg
